49261582070256,Received, siggen/room2/rhum
49261582425293,Received, siggen/room1/rhum
49261582520189,Sending, mavg/room1/rhum
49261582533350,Sending, mavg/room2/rhum
49261582544451,Received, siggen/room1/temp
49261582556825,Sending, mavg/room1/temp
49261582567950,Received, siggen/room2/temp
49261582578999,Sending, mavg/room2/temp
49262578964985,Received, siggen/room1/rhum
49262579019431,Received, siggen/room1/temp
49262579030896,Sending, mavg/room1/temp
49262579041858,Sending, mavg/room1/rhum
49262579776101,Received, siggen/room2/rhum
49262579852690,Received, siggen/room2/temp
49262579871960,Sending, mavg/room2/temp
49262579887805,Sending, mavg/room2/rhum
49263578893812,Received, siggen/room2/temp
49263578939023,Received, siggen/room1/rhum
49263578950790,Sending, mavg/room1/rhum
49263578962122,Sending, mavg/room2/temp
49263578973362,Received, siggen/room1/temp
49263578984546,Sending, mavg/room1/temp
49263578995690,Received, siggen/room2/rhum
49263579006909,Sending, mavg/room2/rhum
49264580708169,Received, siggen/room2/temp
49264580817067,Received, siggen/room2/rhum
49264580835164,Sending, mavg/room2/rhum
49264580849021,Sending, mavg/room2/temp
49264581001402,Received, siggen/room1/temp
49264581020228,Received, siggen/room1/rhum
49264581034362,Sending, mavg/room1/temp
49264581048539,Sending, mavg/room1/rhum
49265578760139,Received, siggen/room1/temp
49265578822083,Received, siggen/room1/rhum
49265578838005,Sending, mavg/room1/rhum
49265578851051,Sending, mavg/room1/temp
49265578905327,Received, siggen/room2/rhum
49265578923771,Sending, mavg/room2/rhum
49265579515404,Received, siggen/room2/temp
49265579545923,Sending, mavg/room2/temp
49266579074753,Received, siggen/room1/temp
49266579122571,Received, siggen/room2/rhum
49266579134214,Sending, mavg/room2/rhum
49266579169441,Sending, mavg/room1/temp
49266579181324,Received, siggen/room1/rhum
49266579192567,Sending, mavg/room1/rhum
49266579203775,Received, siggen/room2/temp
49266579214955,Sending, mavg/room2/temp
49267578994092,Received, siggen/room1/rhum
49267579197347,Received, siggen/room2/rhum
49267579209203,Sending, mavg/room2/rhum
49267579220137,Sending, mavg/room1/rhum
49267580698166,Received, siggen/room1/temp
49267581334373,Received, siggen/room2/temp
49267581348401,Sending, mavg/room2/temp
49267581359697,Sending, mavg/room1/temp
49268579701079,Received, siggen/room2/rhum
49268579741285,Received, siggen/room1/rhum
49268579751778,Sending, mavg/room2/rhum
49268579761994,Sending, mavg/room1/rhum
49268579772153,Received, siggen/room2/temp
49268579808483,Sending, mavg/room2/temp
49268579826084,Received, siggen/room1/temp
49268579850017,Sending, mavg/room1/temp
49269580726989,Received, siggen/room2/rhum
49269581039758,Received, siggen/room1/rhum
