# timestamp,resident_bytes,total_bytes,system_millis,user_millis
44279985423878,19484672,936370176,60,260
44280476659156,19484672,936370176,60,260
44280795170320,19484672,936370176,70,300
44281128851880,19484672,936370176,70,300
44281436099364,19484672,936370176,70,300
44281745162925,19484672,936370176,70,300
44282059263826,19484672,936370176,70,300
44282354516442,19484672,936370176,70,300
44282629654969,19484672,936370176,70,300
44282929674545,19484672,936370176,70,300
44283196571182,19484672,936370176,70,300
44283486120233,19484672,936370176,70,300
44283747423107,19484672,936370176,70,300
44284034459399,19484672,936370176,70,300
44284335330738,19484672,936370176,70,300
44284607515402,19484672,936370176,70,300
44284886374534,19484672,936370176,70,300
44285149218367,19484672,936370176,70,300
44285415020552,19484672,936370176,70,300
44285706936337,19484672,936370176,70,300
44285994986279,19484672,936370176,70,300
44286257653468,19484672,936370176,70,300
44286516895000,19484672,936370176,70,300
44286802921099,19484672,936370176,70,300
44287066802754,19484672,936370176,70,300
44287335674852,19484672,936370176,70,300
44287617743195,19484672,936370176,70,300
44287878889067,19484672,936370176,70,300
44288143663155,19484672,936370176,70,300
44288407817645,19484672,936370176,70,300
44288692138117,19484672,936370176,70,300
44288953278123,19484672,936370176,70,300
44289224702776,19484672,936370176,70,300
44289537331965,19484672,936370176,70,300
44289810929835,19484672,936370176,70,300
44290133231781,19484672,936370176,70,300
44290528952922,19484672,936370176,70,300
44290796384169,19484672,936370176,70,300
44291065148888,19484672,936370176,70,300
44291329907368,19484672,936370176,70,300
44291591230354,19484672,936370176,70,300
44291857846759,19484672,936370176,70,300
44292143787444,19484672,936370176,70,300
44292430921479,19484672,936370176,70,300
44292726487069,19484672,936370176,70,300
44292998208107,19484672,936370176,70,300
44293278285890,19484672,936370176,70,300
44293540150100,19484672,936370176,70,300
44293807347064,19484672,936370176,70,300
44294090931110,19484672,936370176,70,300
44294352598214,19484672,936370176,70,300
44294630414808,19484672,936370176,70,300
44294893276259,19484672,936370176,70,300
44295165817217,19484672,936370176,70,300
44295430741269,19484672,936370176,70,300
44295695087748,19484672,936370176,70,300
44295963278716,19484672,936370176,70,300
44296224497513,19484672,936370176,70,300
44296487470271,19484672,936370176,70,300
44296752555772,19484672,936370176,70,300
44297018119477,19484672,936370176,70,300
44297298556576,19484672,936370176,70,300
44297565863186,19484672,936370176,70,300
44297842295767,19484672,936370176,70,300
44298104817736,19484672,936370176,70,300
44298367288161,19484672,936370176,70,300
44298631990099,19484672,936370176,70,300
44298897239605,19484672,936370176,70,300
44299165671519,19484672,936370176,70,300
44299435217558,19484672,936370176,70,300
44299701715520,19484672,936370176,70,300
44299965392293,19484672,936370176,70,300
44300234064107,19484672,936370176,70,300
44300498646758,19484672,936370176,70,300
44300762187636,19484672,936370176,70,300
44301023144117,19484672,936370176,70,300
44301291244478,19484672,936370176,70,300
44301554834082,19484672,936370176,70,300
44301831394091,19484672,936370176,70,300
44302094670873,19484672,936370176,70,300
44302364470274,19484672,936370176,70,300
44302635993159,19484672,936370176,70,300
44302899314280,19484672,936370176,70,300
44303161337363,19484672,936370176,70,300
44303424606433,19484672,936370176,70,300
44303708207346,19484672,936370176,70,300
44303974595374,19484672,936370176,70,300
44304240546616,19484672,936370176,70,300
44304504440356,19484672,936370176,70,300
44304771543104,19484672,936370176,70,300
44305051011815,19484672,936370176,70,300
44305321277311,19484672,936370176,70,300
44305583389462,19484672,936370176,70,300
44305848051895,19484672,936370176,70,300
44306111816592,19484672,936370176,70,300
44306379087409,19484672,936370176,70,300
44306643493209,19484672,936370176,70,300
44306906973592,19484672,936370176,70,300
44307173690809,19484672,936370176,70,300
44307436567618,19484672,936370176,70,300
44307729092626,19484672,936370176,70,300
44307994834221,19484672,936370176,70,300
44308265680698,19484672,936370176,70,300
44308538684295,19484672,936370176,70,300
44308811143265,19484672,936370176,70,300
44309116506947,19484672,936370176,70,300
44309397881640,19484672,936370176,70,300
44309656690895,19484672,936370176,70,300
44309936038423,19484672,936370176,70,300
44310198691044,19484672,936370176,70,300
44310458749501,19484672,936370176,70,300
44310727577298,19484672,936370176,70,300
44311026752928,19484672,936370176,70,300
44311299898009,19484672,936370176,70,300
